"107","Stefon Diggs","WR","HOU","-","-","-","8.7","-","12.9","17.7","15.5","4.2","5.6","6.6","3.1","1.6","1.2","17.5","1.9","0.8","7.5","97.3"
"108","Greg Zuerlein","K","NYJ","10","6","7","6","5","-","6","5","17","7","1","-","-","3","7","6","11","6.9","97"
"108","Detroit Lions","DST","DET","13","3","5","22","-2","2","7","-1","BYE","4","7","9","5","4","1","6","12","6.1","97"
"110","Nick Foles","QB","FA","19","10.1","6.9","18.7","1.8","-","6.3","13.3","6.9","6","-","3.3","3.6","-","-","-","-","8.7","96.1"
"111","Zach Ertz","TE","WAS","4.6","1.7","3","1.1","6","4.3","6.3","BYE","4.4","6.8","1.2","-","6.9","9.8","13.8","10.2","15.2","6.4","95.3"
"112","Keenan Allen","WR","CHI","16.6","-0.4","25.3","13.2","5.7","15.7","8.9","9.5","-","-","-","-","-","-","-","-","-","11.8","94.5"
"113","Atlanta Falcons","DST","ATL","4","5","3","21","12","1","9","2","5","BYE","9","3","5","-2","5","8","3","5.8","93"
"114","Baltimore Ravens","DST","BAL","16","-1","11","5","3","3","3","2","BYE","6","14","9","7","-2","3","10","3","5.8","92"
"114","Ameer Abdullah","RB","LV","15.4","1.8","10.2","4.4","0.5","6.9","4.3","0.3","-","2.2","4.6","7.5","6.7","4.4","12.9","4.8","5.1","5.8","92"
"116","Jacksonville Jaguars","DST","JAC","6","3","-2","8","1","1","24","BYE","1","10","10","2","4","17","3","-2","4","5.6","90"
"117","Tennessee Titans","DST","TEN","15","1","6","BYE","7","5","8","4","8","5","9","5","6","0","4","2","3","5.5","88"
"118","Jason Witten","TE","FA","18","5.6","6.5","5.7","1.3","-","7.3","1.6","4.3","4.2","2.7","3.6","4.6","4","4.9","1.2","11.8","5.5","87.3"
"119","Le'Veon Bell","RB","FA","-","-","19.2","21","18.7","8.8","13.7","5.8","-","-","-","-","-","-","-","-","-","14.5","87.2"
"120","Randy Bullock","K","FA","7","6","7","-","-","-","-","-","-","5","6","9","11","14","8","9","5","7.9","87"
"121","Miami Dolphins","DST","MIA","9","0","-4","2","BYE","24","12","-2","2","8","7","-3","17","1","4","3","6","5.4","86"
"122","Dion Lewis","RB","FA","12","17.8","12.7","-","15.3","3.9","-","17.2","5.3","-","-","-","-","-","-","-","-","12","84.2"
"123","Eric Ebron","TE","FA","11.3","10.3","6.1","2.2","-","-","14.9","2.4","-","2.8","0","2.8","6.9","2.7","7.9","4.9","8.5","6","83.7"
"124","Danny Amendola","WR","FA","2.4","3.2","9.9","-","0.6","10.5","14.6","1.1","3.2","7.9","11.7","-","13.6","4.6","-1.7","-","1.7","6","83.3"
"125","Los Angeles Chargers","DST","LAC","5","4","2","6","6","3","-3","2","11","-","3","4","7","10","6","5","12","5.2","83"
"126","James White","RB","FA","0","-","3.4","-","0","0","3","0.3","-","1.1","16.6","0.6","17.9","10","13.7","9.2","6.8","5.9","82.6"
"127","Dallas Cowboys","DST","DAL","2","18","-3","3","4","BYE","2","7","1","10","12","2","6","1","5","8","2","5","80"
"127","Cleveland Browns","DST","CLE","1","14","2","1","0","13","5","8","2","4","BYE","10","-3","13","1","4","5","5","80"
"127","Ryan Succop","K","FA","6","2","9","-","8","4","1","7","10","5","9","1","6","0","5","0","7","5","80"
"130","Cole Beasley","WR","FA","2.9","1.4","4.9","6.2","4","-","-2","0","23.2","0.8","1.4","10.4","0","2.5","3.7","2.9","17.3","5","79.6"
"131","Kyle Rudolph","TE","FA","5.3","9","1.4","0.7","-","6.9","7","2.2","3","0.7","16.6","5.3","1.3","6.7","2.1","11.3","0","5","79.5"
"132","Chicago Bears","DST","CHI","-1","0","4","7","8","4","BYE","3","8","9","6","10","6","5","-3","7","4","4.8","77"
"133","Melvin Gordon III","RB","FA","4.7","9.8","5.1","4.6","7.4","0.9","2.9","6.1","5.6","-","4.9","8","4.3","6.3","4.7","-","-","5.4","75.3"
"133","Devin Funchess","WR","FA","0.9","1.5","1.4","0","-","2.4","2","0.8","13.1","4.1","12.4","1.9","7.3","2.5","9","0","16","4.7","75.3"
